Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery Solplanet 10,24 kWh - SOC ","Smart Meter Hausanschluss  - currentPower 192.168.178.57","Smart Meter Hausanschluss  - activeDevice 192.168.178.57","Energy Measurement Smart Meter EASTRON 630 - currentPower ","Energy Measurement Smart Meter EASTRON 630 - activeDevice ","Heatpump Wärmepumpe - currentPower ","Heatpump Wärmepumpe - activeDevice ","Heatpump Wärmepumpe - currentWaterTemp ","Inverter Solplanet ASW06KH-T2 - currentPower ","Inverter Solplanet ASW06KH-T2 - activeDevice "
2025-06-03T00:00:00+02:00,2093,0,0,0,0,2095.33,1,0,0,1673,1,51.17,0,0
2025-06-03T00:15:00+02:00,2147,0,0,0,0,2147.67,1,0,0,1814,1,54.5,0,0
2025-06-03T00:30:00+02:00,1494,0,0,0,0,1490,1,0,0,1154.33,1,57.5,0,0
2025-06-03T00:45:00+02:00,475,0,0,0,0,474.67,1,0,0,22,1,58.5,0,0
2025-06-03T01:00:00+02:00,352,0,0,0,0,350,1,0,0,22,1,58.5,0,0
2025-06-03T01:15:00+02:00,341,0,0,0,0,340.67,1,0,0,22,1,57.5,0,0
2025-06-03T01:30:00+02:00,439,0,0,0,0,438,1,0,0,22,1,57.17,0,0
2025-06-03T01:45:00+02:00,385,0,0,0,0,384.67,1,0,0,22,1,56.5,0,0
2025-06-03T02:00:00+02:00,384,0,0,0,0,386.33,1,0,0,22,1,55.83,0,0
2025-06-03T02:15:00+02:00,408,0,0,0,0,406,1,0,0,22,1,55.5,0,0
2025-06-03T02:30:00+02:00,337,0,0,0,0,337,1,0,0,22,1,54.83,0,0
2025-06-03T02:45:00+02:00,358,0,0,0,0,355.33,1,0,0,22,1,54.5,0,0
2025-06-03T03:00:00+02:00,495,0,0,0,0,492,1,0,0,22,1,54.17,0,0
2025-06-03T03:15:00+02:00,381,0,0,0,0,382.67,1,0,0,22,1,53.5,0,0
2025-06-03T03:30:00+02:00,338,0,0,0,0,338,1,0,0,22,1,53.5,0,0
2025-06-03T03:45:00+02:00,393,0,0,0,0,377,1,0,0,22,1,53.17,0,0
2025-06-03T04:00:00+02:00,414,0,0,0,0,398,1,0,0,23.67,1,52.5,0,0
2025-06-03T04:15:00+02:00,1238,0,0,0,0,1240,1,0,0,860,1,52.5,0,0
2025-06-03T04:30:00+02:00,921,0,0,0,0,917.67,1,0,0,569.67,1,52.17,0,0
2025-06-03T04:45:00+02:00,508,0,0,0,0,502.67,1,0,0,155.33,1,51.5,0,0
2025-06-03T05:00:00+02:00,341,0,0,0,0,340.67,1,0,0,23.33,1,51.5,0,0
2025-06-03T05:15:00+02:00,298,0,0,0,0,297.33,1,0,0,23.33,1,51.5,0,0
2025-06-03T05:30:00+02:00,297,0,0,0,0,309.67,1,0,0,23.33,1,51.5,0,0
2025-06-03T05:45:00+02:00,380,0,0,0,0,396.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T06:00:00+02:00,426,0,0,0,0,425,1,0,0,23.33,1,52.5,0,0
2025-06-03T06:15:00+02:00,366,0,0,0,0,348.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T06:30:00+02:00,963,0,0,0,0,954.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T06:45:00+02:00,564,0,0,0,0,561.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T07:00:00+02:00,196,0,0,0,0,196.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T07:15:00+02:00,202,0,0,0,0,203.33,1,0,0,23.33,1,52.5,0,0
2025-06-03T07:30:00+02:00,300,0,0,0,0,300.67,1,0,0,23.33,1,51.5,0,0
2025-06-03T07:45:00+02:00,388,0,0,0,0,397.33,1,0,0,219.33,1,51.5,0,0
2025-06-03T08:00:00+02:00,2445,0,0,0,0,2489,1,0,0,1921.33,1,50.83,0,0
2025-06-03T08:15:00+02:00,3743,0,0,0,0,3766,1,0,0,2771.33,1,52.83,0,0
2025-06-03T08:30:00+02:00,2360,0,0,0,0,2336,1,0,0,1882,1,57.33,0,0
2025-06-03T08:45:00+02:00,816,0,0,0,0,816.67,1,0,0,23.33,1,59.7,0,0
2025-06-03T09:00:00+02:00,392,0,0,0,0,392.33,1,0,0,23.33,1,59.7,0,0
2025-06-03T09:15:00+02:00,630,0,0,0,0,623.33,1,0,0,23.33,1,59.7,0,0
2025-06-03T09:30:00+02:00,415,0,0,0,0,436.33,1,0,0,23.33,1,58.7,0,0
2025-06-03T09:45:00+02:00,452,0,0,0,0,419.33,1,0,0,23.33,1,58.7,0,0
2025-06-03T10:00:00+02:00,428,0,0,0,0,412,1,0,0,23.33,1,58.7,0,0
2025-06-03T10:15:00+02:00,214,0,0,0,0,211.67,1,0,0,23.33,1,57.7,0,0
2025-06-03T10:30:00+02:00,255,0,0,0,0,262,1,0,0,23,1,57.7,0,0
2025-06-03T10:45:00+02:00,341,0,0,0,0,352.67,1,0,0,23.33,1,57.7,0,0
2025-06-03T11:00:00+02:00,247,0,0,0,0,233.33,1,0,0,23.33,1,57.7,0,0
2025-06-03T11:15:00+02:00,222,0,0,0,0,216.33,1,0,0,23.33,1,56.7,0,0
2025-06-03T11:30:00+02:00,264,0,0,0,0,275.33,1,0,0,23,1,56.7,0,0
2025-06-03T11:45:00+02:00,262,0,0,0,0,252,1,0,0,23.33,1,56.37,0,0
2025-06-03T12:00:00+02:00,281,1,0,0,0,301.33,1,0,0,23.33,1,55.7,0,0
2025-06-03T12:15:00+02:00,301,0,0,0,0,300,1,0,0,23.33,1,55.7,0,0
2025-06-03T12:30:00+02:00,269,0,0,0,0,276.67,1,0,0,23,1,55.7,0,0
2025-06-03T12:45:00+02:00,361,0,0,0,0,349.33,1,0,0,23.33,1,54.7,0,0
2025-06-03T13:00:00+02:00,248,0,0,0,0,255.67,1,0,0,21.33,1,54.7,0,0
2025-06-03T13:15:00+02:00,263,6,0,0,0,273,1,0,0,17,1,54.7,0,0
2025-06-03T13:30:00+02:00,232,3,0,0,0,224,1,0,0,16.67,1,53.7,0,0
2025-06-03T13:45:00+02:00,268,0,0,0,0,269.33,1,0,0,17,1,53.7,0,0
2025-06-03T14:00:00+02:00,202,5,0,0,0,194,1,0,0,17,1,53.7,0,0
2025-06-03T14:15:00+02:00,151,8,0,0,0,156,1,0,0,17,1,53.7,0,0
2025-06-03T14:30:00+02:00,88,16,0,0,0,78.33,1,0,0,17,1,52.7,0,0
2025-06-03T14:45:00+02:00,79,21,0,0,0,57.33,1,0,0,17,1,52.7,0,0
2025-06-03T15:00:00+02:00,224,3,0,0,0,225,1,0,0,17,1,52.7,0,0
2025-06-03T15:15:00+02:00,328,16,0,0,0,314,1,0,0,17,1,52.37,0,0
2025-06-03T15:30:00+02:00,99,18,0,0,0,97.67,1,0,0,17,1,51.7,0,0
2025-06-03T15:45:00+02:00,126,9,0,0,0,110.33,1,0,0,17,1,51.7,0,0
2025-06-03T16:00:00+02:00,130,9,0,0,0,140.67,1,0,0,30.33,1,51.33,0,0
2025-06-03T16:15:00+02:00,2513,0,0,0,0,2512.67,1,0,0,1979.33,1,48.5,0,0
2025-06-03T16:30:00+02:00,4594,0,0,0,0,4579,1,0,0,2757.67,1,52.6,0,0
2025-06-03T16:45:00+02:00,2054,0,0,0,0,2036,1,0,0,1737.33,1,57.7,0,0
2025-06-03T17:00:00+02:00,370,0,0,0,0,374.33,1,0,0,17,1,59.7,0,0
